Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-14,USD,0,100000,5.140,1.5
2026-04-14,USD,100000,1000000,4.640,1
2026-04-14,USD,1000000,50000000,4.390,0.75
2026-04-14,USD,50000000,250000000,4.140,0.5
2026-04-14,USD,250000000,,4.140,0.5
2026-04-14,AED,0,350000,6.039,2.5
2026-04-14,AED,350000,3500000,5.539,2
2026-04-14,AED,3500000,350000000,5.039,1.5
2026-04-14,AED,350000000,,5.039,1.5
2026-04-14,AUD,0,150000,5.681,1.5
2026-04-14,AUD,150000,1500000,5.181,1
2026-04-14,AUD,1500000,75000000,4.931,0.75
2026-04-14,AUD,75000000,300000000,4.681,0.5
2026-04-14,AUD,300000000,,4.681,0.5
2026-04-14,CAD,0,130000,3.567,1.5
2026-04-14,CAD,130000,1300000,3.067,1
2026-04-14,CAD,1300000,64000000,2.817,0.75
2026-04-14,CAD,64000000,260000000,2.567,0.5
2026-04-14,CAD,260000000,,2.567,0.5
2026-04-14,CHF,0,90000,1.500,1.5
2026-04-14,CHF,90000,900000,1.000,1
2026-04-14,CHF,900000,46000000,0.750,0.75
2026-04-14,CHF,46000000,180000000,0.75,0.5
2026-04-14,CHF,180000000,,0.75,0.5
2026-04-14,CNH,0,700000,5.213,4
2026-04-14,CNH,700000,7000000,4.213,3
2026-04-14,CNH,7000000,350000000,3.713,2.5
2026-04-14,CNH,350000000,,3.213,2
2026-04-14,CZK,0,400000000,6.261,3
2026-04-14,CZK,400000000,,6.261,3
2026-04-14,DKK,0,120000000,4.481,3
2026-04-14,DKK,120000000,,4.481,3
2026-04-14,EUR,0,90000,3.439,1.5
2026-04-14,EUR,90000,900000,2.939,1
2026-04-14,EUR,900000,44000000,2.689,0.75
2026-04-14,EUR,44000000,180000000,2.439,0.5
2026-04-14,EUR,180000000,,2.439,0.5
2026-04-14,GBP,0,80000,5.187,1.5
2026-04-14,GBP,80000,800000,4.687,1
2026-04-14,GBP,800000,38000000,4.437,0.75
2026-04-14,GBP,38000000,150000000,4.187,0.5
2026-04-14,GBP,150000000,,4.187,0.5
2026-04-14,HKD,0,780000,4.901,2.5
2026-04-14,HKD,780000,7800000,4.401,2
2026-04-14,HKD,7800000,780000000,3.901,1.5
2026-04-14,HKD,780000000,,3.901,1.5
2026-04-14,HUF,0,4500000000,10.752,5
2026-04-14,HUF,4500000000,,10.752,5
2026-04-14,ILS,0,80000000,8.322,5
2026-04-14,ILS,80000000,,8.322,5
2026-04-14,INR,,,8.090,3
2026-04-14,JPY,0,11000000,2.085,1.5
2026-04-14,JPY,11000000,114000000,1.585,1
2026-04-14,JPY,114000000,5700000000,1.335,0.75
2026-04-14,JPY,5700000000,23000000000,1.085,0.5
2026-04-14,JPY,23000000000,,1.085,0.5
2026-04-14,KRW,0,120000000,4.500,2
2026-04-14,KRW,120000000,1200000000,4.000,1.5
2026-04-14,KRW,1200000000,24000000000,3.500,1
2026-04-14,KRW,24000000000,,3.500,1
2026-04-14,MXN,0,2000000,9.680,3
2026-04-14,MXN,2000000,20000000,8.680,2
2026-04-14,MXN,20000000,2000000000,8.180,1.5
2026-04-14,MXN,2000000000,,8.180,1.5
2026-04-14,NOK,0,900000,5.256,1.5
2026-04-14,NOK,900000,9000000,4.756,1
2026-04-14,NOK,9000000,450000000,4.506,0.75
2026-04-14,NOK,450000000,1800000000,4.256,0.5
2026-04-14,NOK,1800000000,,4.256,0.5
2026-04-14,NZD,0,150000,4.240,1.5
2026-04-14,NZD,150000,1500000,3.740,1
2026-04-14,NZD,1500000,150000000,3.490,0.75
2026-04-14,NZD,150000000,,3.490,0.75
2026-04-14,PLN,0,70000000,6.547,3
2026-04-14,PLN,70000000,,6.547,3
2026-04-14,RON,,,8.156,3
2026-04-14,RUB*,0,660000000,19.770,5
2026-04-14,RUB*,660000000,,19.770,5
2026-04-14,SAR,0,350000,5.994,2.5
2026-04-14,SAR,350000,3500000,5.494,2
2026-04-14,SAR,3500000,350000000,4.994,1.5
2026-04-14,SAR,350000000,,4.994,1.5
2026-04-14,SEK,0,900000,3.084,1.5
2026-04-14,SEK,900000,9100000,2.584,1
2026-04-14,SEK,9100000,454000000,2.334,0.75
2026-04-14,SEK,454000000,1820000000,2.084,0.5
2026-04-14,SEK,1820000000,,2.084,0.5
2026-04-14,SGD,0,140000,2.569,1.5
2026-04-14,SGD,140000,1400000,2.069,1
2026-04-14,SGD,1400000,68000000,1.819,0.75
2026-04-14,SGD,68000000,270000000,1.569,0.5
2026-04-14,SGD,270000000,,1.569,0.5
2026-04-14,TRY,0,250000000,30.863,5
2026-04-14,TRY,250000000,,30.863,5
2026-04-14,ZAR,0,1500000,7.911,1.5
2026-04-14,ZAR,1500000,15000000,7.411,1
2026-04-14,ZAR,15000000,1500000000,7.161,0.75
2026-04-14,ZAR,1500000000,,7.161,0.75
