Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-05-13,USD,0,100000,5.130,1.5
2026-05-13,USD,100000,1000000,4.630,1
2026-05-13,USD,1000000,50000000,4.380,0.75
2026-05-13,USD,50000000,250000000,4.130,0.5
2026-05-13,USD,250000000,,4.130,0.5
2026-05-13,AED,0,350000,6.070,2.5
2026-05-13,AED,350000,3500000,5.570,2
2026-05-13,AED,3500000,350000000,5.070,1.5
2026-05-13,AED,350000000,,5.070,1.5
2026-05-13,AUD,0,150000,5.802,1.5
2026-05-13,AUD,150000,1500000,5.302,1
2026-05-13,AUD,1500000,75000000,5.052,0.75
2026-05-13,AUD,75000000,300000000,4.802,0.5
2026-05-13,AUD,300000000,,4.802,0.5
2026-05-13,CAD,0,130000,3.627,1.5
2026-05-13,CAD,130000,1300000,3.127,1
2026-05-13,CAD,1300000,64000000,2.877,0.75
2026-05-13,CAD,64000000,260000000,2.627,0.5
2026-05-13,CAD,260000000,,2.627,0.5
2026-05-13,CHF,0,90000,1.500,1.5
2026-05-13,CHF,90000,900000,1.000,1
2026-05-13,CHF,900000,46000000,0.750,0.75
2026-05-13,CHF,46000000,180000000,0.75,0.5
2026-05-13,CHF,180000000,,0.75,0.5
2026-05-13,CNH,0,700000,5.178,4
2026-05-13,CNH,700000,7000000,4.178,3
2026-05-13,CNH,7000000,350000000,3.678,2.5
2026-05-13,CNH,350000000,,3.178,2
2026-05-13,CZK,0,400000000,6.297,3
2026-05-13,CZK,400000000,,6.297,3
2026-05-13,DKK,0,120000000,4.488,3
2026-05-13,DKK,120000000,,4.488,3
2026-05-13,EUR,0,90000,3.444,1.5
2026-05-13,EUR,90000,900000,2.944,1
2026-05-13,EUR,900000,44000000,2.694,0.75
2026-05-13,EUR,44000000,180000000,2.444,0.5
2026-05-13,EUR,180000000,,2.444,0.5
2026-05-13,GBP,0,80000,5.210,1.5
2026-05-13,GBP,80000,800000,4.710,1
2026-05-13,GBP,800000,38000000,4.460,0.75
2026-05-13,GBP,38000000,150000000,4.210,0.5
2026-05-13,GBP,150000000,,4.210,0.5
2026-05-13,HKD,0,780000,5.402,2.5
2026-05-13,HKD,780000,7800000,4.902,2
2026-05-13,HKD,7800000,780000000,4.402,1.5
2026-05-13,HKD,780000000,,4.402,1.5
2026-05-13,HUF,0,4500000000,10.534,5
2026-05-13,HUF,4500000000,,10.534,5
2026-05-13,ILS,0,80000000,8.939,5
2026-05-13,ILS,80000000,,8.939,5
2026-05-13,INR,,,8.380,3
2026-05-13,JPY,0,11000000,2.004,1.5
2026-05-13,JPY,11000000,114000000,1.504,1
2026-05-13,JPY,114000000,5700000000,1.254,0.75
2026-05-13,JPY,5700000000,23000000000,1.004,0.5
2026-05-13,JPY,23000000000,,1.004,0.5
2026-05-13,KRW,0,120000000,4.500,2
2026-05-13,KRW,120000000,1200000000,4.000,1.5
2026-05-13,KRW,1200000000,24000000000,3.500,1
2026-05-13,KRW,24000000000,,3.500,1
2026-05-13,MXN,0,2000000,9.474,3
2026-05-13,MXN,2000000,20000000,8.474,2
2026-05-13,MXN,20000000,2000000000,7.974,1.5
2026-05-13,MXN,2000000000,,7.974,1.5
2026-05-13,NOK,0,900000,5.567,1.5
2026-05-13,NOK,900000,9000000,5.067,1
2026-05-13,NOK,9000000,450000000,4.817,0.75
2026-05-13,NOK,450000000,1800000000,4.567,0.5
2026-05-13,NOK,1800000000,,4.567,0.5
2026-05-13,NZD,0,150000,3.804,1.5
2026-05-13,NZD,150000,1500000,3.304,1
2026-05-13,NZD,1500000,150000000,3.054,0.75
2026-05-13,NZD,150000000,,3.054,0.75
2026-05-13,PLN,0,70000000,6.700,3
2026-05-13,PLN,70000000,,6.700,3
2026-05-13,RON,,,8.070,3
2026-05-13,RUB*,0,660000000,19.070,5
2026-05-13,RUB*,660000000,,19.070,5
2026-05-13,SAR,0,350000,6.514,2.5
2026-05-13,SAR,350000,3500000,6.014,2
2026-05-13,SAR,3500000,350000000,5.514,1.5
2026-05-13,SAR,350000000,,5.514,1.5
2026-05-13,SEK,0,900000,3.061,1.5
2026-05-13,SEK,900000,9100000,2.561,1
2026-05-13,SEK,9100000,454000000,2.311,0.75
2026-05-13,SEK,454000000,1820000000,2.061,0.5
2026-05-13,SEK,1820000000,,2.061,0.5
2026-05-13,SGD,0,140000,2.854,1.5
2026-05-13,SGD,140000,1400000,2.354,1
2026-05-13,SGD,1400000,68000000,2.104,0.75
2026-05-13,SGD,68000000,270000000,1.854,0.5
2026-05-13,SGD,270000000,,1.854,0.5
2026-05-13,TRY,0,250000000,38.366,5
2026-05-13,TRY,250000000,,38.366,5
2026-05-13,ZAR,0,1500000,7.829,1.5
2026-05-13,ZAR,1500000,15000000,7.329,1
2026-05-13,ZAR,15000000,1500000000,7.079,0.75
2026-05-13,ZAR,1500000000,,7.079,0.75
