Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-30,USD,0,100000,5.140,1.5
2026-04-30,USD,100000,1000000,4.640,1
2026-04-30,USD,1000000,50000000,4.390,0.75
2026-04-30,USD,50000000,250000000,4.140,0.5
2026-04-30,USD,250000000,,4.140,0.5
2026-04-30,AED,0,350000,5.971,2.5
2026-04-30,AED,350000,3500000,5.471,2
2026-04-30,AED,3500000,350000000,4.971,1.5
2026-04-30,AED,350000000,,4.971,1.5
2026-04-30,AUD,0,150000,5.629,1.5
2026-04-30,AUD,150000,1500000,5.129,1
2026-04-30,AUD,1500000,75000000,4.879,0.75
2026-04-30,AUD,75000000,300000000,4.629,0.5
2026-04-30,AUD,300000000,,4.629,0.5
2026-04-30,CAD,0,130000,3.786,1.5
2026-04-30,CAD,130000,1300000,3.286,1
2026-04-30,CAD,1300000,64000000,3.036,0.75
2026-04-30,CAD,64000000,260000000,2.786,0.5
2026-04-30,CAD,260000000,,2.786,0.5
2026-04-30,CHF,0,90000,1.500,1.5
2026-04-30,CHF,90000,900000,1.000,1
2026-04-30,CHF,900000,46000000,0.750,0.75
2026-04-30,CHF,46000000,180000000,0.75,0.5
2026-04-30,CHF,180000000,,0.75,0.5
2026-04-30,CNH,0,700000,5.177,4
2026-04-30,CNH,700000,7000000,4.177,3
2026-04-30,CNH,7000000,350000000,3.677,2.5
2026-04-30,CNH,350000000,,3.177,2
2026-04-30,CZK,0,400000000,6.345,3
2026-04-30,CZK,400000000,,6.345,3
2026-04-30,DKK,0,120000000,4.559,3
2026-04-30,DKK,120000000,,4.559,3
2026-04-30,EUR,0,90000,3.495,1.5
2026-04-30,EUR,90000,900000,2.995,1
2026-04-30,EUR,900000,44000000,2.745,0.75
2026-04-30,EUR,44000000,180000000,2.495,0.5
2026-04-30,EUR,180000000,,2.495,0.5
2026-04-30,GBP,0,80000,5.264,1.5
2026-04-30,GBP,80000,800000,4.764,1
2026-04-30,GBP,800000,38000000,4.514,0.75
2026-04-30,GBP,38000000,150000000,4.264,0.5
2026-04-30,GBP,150000000,,4.264,0.5
2026-04-30,HKD,0,780000,4.642,2.5
2026-04-30,HKD,780000,7800000,4.142,2
2026-04-30,HKD,7800000,780000000,3.642,1.5
2026-04-30,HKD,780000000,,3.642,1.5
2026-04-30,HUF,0,4500000000,10.887,5
2026-04-30,HUF,4500000000,,10.887,5
2026-04-30,ILS,0,80000000,9.090,5
2026-04-30,ILS,80000000,,9.090,5
2026-04-30,INR,,,8.190,3
2026-04-30,JPY,0,11000000,2.140,1.5
2026-04-30,JPY,11000000,114000000,1.640,1
2026-04-30,JPY,114000000,5700000000,1.390,0.75
2026-04-30,JPY,5700000000,23000000000,1.140,0.5
2026-04-30,JPY,23000000000,,1.140,0.5
2026-04-30,KRW,0,120000000,4.500,2
2026-04-30,KRW,120000000,1200000000,4.000,1.5
2026-04-30,KRW,1200000000,24000000000,3.500,1
2026-04-30,KRW,24000000000,,3.500,1
2026-04-30,MXN,0,2000000,9.722,3
2026-04-30,MXN,2000000,20000000,8.722,2
2026-04-30,MXN,20000000,2000000000,8.222,1.5
2026-04-30,MXN,2000000000,,8.222,1.5
2026-04-30,NOK,0,900000,5.471,1.5
2026-04-30,NOK,900000,9000000,4.971,1
2026-04-30,NOK,9000000,450000000,4.721,0.75
2026-04-30,NOK,450000000,1800000000,4.471,0.5
2026-04-30,NOK,1800000000,,4.471,0.5
2026-04-30,NZD,0,150000,3.981,1.5
2026-04-30,NZD,150000,1500000,3.481,1
2026-04-30,NZD,1500000,150000000,3.231,0.75
2026-04-30,NZD,150000000,,3.231,0.75
2026-04-30,PLN,0,70000000,6.713,3
2026-04-30,PLN,70000000,,6.713,3
2026-04-30,RON,,,8.354,3
2026-04-30,RUB*,0,660000000,19.920,5
2026-04-30,RUB*,660000000,,19.920,5
2026-04-30,SAR,0,350000,6.397,2.5
2026-04-30,SAR,350000,3500000,5.897,2
2026-04-30,SAR,3500000,350000000,5.397,1.5
2026-04-30,SAR,350000000,,5.397,1.5
2026-04-30,SEK,0,900000,3.258,1.5
2026-04-30,SEK,900000,9100000,2.758,1
2026-04-30,SEK,9100000,454000000,2.508,0.75
2026-04-30,SEK,454000000,1820000000,2.258,0.5
2026-04-30,SEK,1820000000,,2.258,0.5
2026-04-30,SGD,0,140000,2.767,1.5
2026-04-30,SGD,140000,1400000,2.267,1
2026-04-30,SGD,1400000,68000000,2.017,0.75
2026-04-30,SGD,68000000,270000000,1.767,0.5
2026-04-30,SGD,270000000,,1.767,0.5
2026-04-30,TRY,0,250000000,38.336,5
2026-04-30,TRY,250000000,,38.336,5
2026-04-30,ZAR,0,1500000,8.164,1.5
2026-04-30,ZAR,1500000,15000000,7.664,1
2026-04-30,ZAR,15000000,1500000000,7.414,0.75
2026-04-30,ZAR,1500000000,,7.414,0.75
