Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-28,USD,0,10000,0,0
2026-04-28,USD,10000,,3.140,-0.5
2026-04-28,AED,0,35000,0,0
2026-04-28,AED,35000,,2.819,-0.75
2026-04-28,AUD,0,15000,0,0
2026-04-28,AUD,15000,150000,3.612,-0.5
2026-04-28,AUD,150000,,3.862,-0.25
2026-04-28,CAD,0,13000,0,0
2026-04-28,CAD,13000,,1.799,-0.5
2026-04-28,CHF,0,100000,0,0
2026-04-28,CHF,100000,,-0.319,-0.25
2026-04-28,CNH,0,70000,0,0
2026-04-28,CNH,70000,,0.50,0
2026-04-28,CZK,0,250000,0,0
2026-04-28,CZK,250000,,1.291,-2
2026-04-28,DKK,0,75000,0,0
2026-04-28,DKK,75000,,1.027,-0.5
2026-04-28,EUR,0,10000,0,0
2026-04-28,EUR,10000,,1.477,-0.5
2026-04-28,GBP,0,8000,0,0
2026-04-28,GBP,8000,,3.247,-0.5
2026-04-28,HKD,0,78000,0,0
2026-04-28,HKD,78000,,1.561,-0.75
2026-04-28,HUF,0,3500000,0,0
2026-04-28,HUF,3500000,,2.546,-3
2026-04-28,ILS,,,0,0
2026-04-28,INR,,,0,0
2026-04-28,JPY,0,5000000,0,0
2026-04-28,JPY,5000000,,0.433,-0.25
2026-04-28,KRW,0,12000000,0,0
2026-04-28,KRW,12000000,,1.000,-1.5
2026-04-28,MXN,0,200000,0,0
2026-04-28,MXN,200000,,2.717,-4
2026-04-28,NOK,0,100000,0,0
2026-04-28,NOK,100000,,1.913,-2
2026-04-28,NZD,0,15000,0,0
2026-04-28,NZD,15000,,0.010,-2.5
2026-04-28,PLN,0,400000,0,0
2026-04-28,PLN,400000,,1.721,-2
2026-04-28,RON,0,50000,0,0
2026-04-28,RON,50000,,3.434,-2
2026-04-28,RUB,,,0,0
2026-04-28,SAR,0,35000,0,0
2026-04-28,SAR,35000,,3.585,-0.75
2026-04-28,SEK,0,110000,0,0
2026-04-28,SEK,110000,,1.215,-0.5
2026-04-28,SGD,0,14000,0,0
2026-04-28,SGD,14000,,0.044,-1
2026-04-28,TRY,0,250000,0,0
2026-04-28,TRY,250000,,5,0
2026-04-28,ZAR,0,150000,0,0
2026-04-28,ZAR,150000,,5.101,-1
