Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-05-28,USD,0,10000,0,0
2026-05-28,USD,10000,,3.120,-0.5
2026-05-28,AED,0,35000,0,0
2026-05-28,AED,35000,,2.676,-0.75
2026-05-28,AUD,0,15000,0,0
2026-05-28,AUD,15000,150000,3.738,-0.5
2026-05-28,AUD,150000,,3.988,-0.25
2026-05-28,CAD,0,13000,0,0
2026-05-28,CAD,13000,,1.534,-0.5
2026-05-28,CHF,0,100000,0,0
2026-05-28,CHF,100000,,-0.497,-0.25
2026-05-28,CNH,0,70000,0,0
2026-05-28,CNH,70000,,0.50,0
2026-05-28,CZK,0,250000,0,0
2026-05-28,CZK,250000,,1.218,-2
2026-05-28,DKK,0,75000,0,0
2026-05-28,DKK,75000,,0.919,-0.5
2026-05-28,EUR,0,10000,0,0
2026-05-28,EUR,10000,,1.364,-0.5
2026-05-28,GBP,0,8000,0,0
2026-05-28,GBP,8000,,3.114,-0.5
2026-05-28,HKD,0,78000,0,0
2026-05-28,HKD,78000,,1.274,-0.75
2026-05-28,HUF,0,3500000,0,0
2026-05-28,HUF,3500000,,2.913,-3
2026-05-28,ILS,,,0,0
2026-05-28,INR,,,0,0
2026-05-28,JPY,0,5000000,0,0
2026-05-28,JPY,5000000,,0.242,-0.25
2026-05-28,KRW,0,12000000,0,0
2026-05-28,KRW,12000000,,1.000,-1.5
2026-05-28,MXN,0,200000,0,0
2026-05-28,MXN,200000,,2.695,-4
2026-05-28,NOK,0,100000,0,0
2026-05-28,NOK,100000,,2.039,-2
2026-05-28,NZD,0,15000,0,0
2026-05-28,NZD,15000,,0.000,-2.5
2026-05-28,PLN,0,400000,0,0
2026-05-28,PLN,400000,,1.800,-2
2026-05-28,RON,0,50000,0,0
2026-05-28,RON,50000,,3.285,-2
2026-05-28,RUB,,,0,0
2026-05-28,SAR,0,35000,0,0
2026-05-28,SAR,35000,,2.954,-0.75
2026-05-28,SEK,0,110000,0,0
2026-05-28,SEK,110000,,1.435,-0.5
2026-05-28,SGD,0,14000,0,0
2026-05-28,SGD,14000,,0.089,-1
2026-05-28,TRY,0,250000,0,0
2026-05-28,TRY,250000,,5,0
2026-05-28,ZAR,0,150000,0,0
2026-05-28,ZAR,150000,,5.496,-1
