Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-04-16,USD,0,100000,5.140,1.5
2026-04-16,USD,100000,1000000,4.640,1
2026-04-16,USD,1000000,50000000,4.390,0.75
2026-04-16,USD,50000000,250000000,4.140,0.5
2026-04-16,USD,250000000,,4.140,0.5
2026-04-16,AED,0,350000,5.972,2.5
2026-04-16,AED,350000,3500000,5.472,2
2026-04-16,AED,3500000,350000000,4.972,1.5
2026-04-16,AED,350000000,,4.972,1.5
2026-04-16,AUD,0,150000,5.691,1.5
2026-04-16,AUD,150000,1500000,5.191,1
2026-04-16,AUD,1500000,75000000,4.941,0.75
2026-04-16,AUD,75000000,300000000,4.691,0.5
2026-04-16,AUD,300000000,,4.691,0.5
2026-04-16,CAD,0,130000,3.584,1.5
2026-04-16,CAD,130000,1300000,3.084,1
2026-04-16,CAD,1300000,64000000,2.834,0.75
2026-04-16,CAD,64000000,260000000,2.584,0.5
2026-04-16,CAD,260000000,,2.584,0.5
2026-04-16,CHF,0,90000,1.500,1.5
2026-04-16,CHF,90000,900000,1.000,1
2026-04-16,CHF,900000,46000000,0.750,0.75
2026-04-16,CHF,46000000,180000000,0.75,0.5
2026-04-16,CHF,180000000,,0.75,0.5
2026-04-16,CNH,0,700000,5.165,4
2026-04-16,CNH,700000,7000000,4.165,3
2026-04-16,CNH,7000000,350000000,3.665,2.5
2026-04-16,CNH,350000000,,3.165,2
2026-04-16,CZK,0,400000000,6.254,3
2026-04-16,CZK,400000000,,6.254,3
2026-04-16,DKK,0,120000000,4.467,3
2026-04-16,DKK,120000000,,4.467,3
2026-04-16,EUR,0,90000,3.426,1.5
2026-04-16,EUR,90000,900000,2.926,1
2026-04-16,EUR,900000,44000000,2.676,0.75
2026-04-16,EUR,44000000,180000000,2.426,0.5
2026-04-16,EUR,180000000,,2.426,0.5
2026-04-16,GBP,0,80000,5.140,1.5
2026-04-16,GBP,80000,800000,4.640,1
2026-04-16,GBP,800000,38000000,4.390,0.75
2026-04-16,GBP,38000000,150000000,4.140,0.5
2026-04-16,GBP,150000000,,4.140,0.5
2026-04-16,HKD,0,780000,4.899,2.5
2026-04-16,HKD,780000,7800000,4.399,2
2026-04-16,HKD,7800000,780000000,3.899,1.5
2026-04-16,HKD,780000000,,3.899,1.5
2026-04-16,HUF,0,4500000000,10.758,5
2026-04-16,HUF,4500000000,,10.758,5
2026-04-16,ILS,0,80000000,8.641,5
2026-04-16,ILS,80000000,,8.641,5
2026-04-16,INR,,,8.090,3
2026-04-16,JPY,0,11000000,2.044,1.5
2026-04-16,JPY,11000000,114000000,1.544,1
2026-04-16,JPY,114000000,5700000000,1.294,0.75
2026-04-16,JPY,5700000000,23000000000,1.044,0.5
2026-04-16,JPY,23000000000,,1.044,0.5
2026-04-16,KRW,0,120000000,4.500,2
2026-04-16,KRW,120000000,1200000000,4.000,1.5
2026-04-16,KRW,1200000000,24000000000,3.500,1
2026-04-16,KRW,24000000000,,3.500,1
2026-04-16,MXN,0,2000000,9.754,3
2026-04-16,MXN,2000000,20000000,8.754,2
2026-04-16,MXN,20000000,2000000000,8.254,1.5
2026-04-16,MXN,2000000000,,8.254,1.5
2026-04-16,NOK,0,900000,5.375,1.5
2026-04-16,NOK,900000,9000000,4.875,1
2026-04-16,NOK,9000000,450000000,4.625,0.75
2026-04-16,NOK,450000000,1800000000,4.375,0.5
2026-04-16,NOK,1800000000,,4.375,0.5
2026-04-16,NZD,0,150000,4.150,1.5
2026-04-16,NZD,150000,1500000,3.650,1
2026-04-16,NZD,1500000,150000000,3.400,0.75
2026-04-16,NZD,150000000,,3.400,0.75
2026-04-16,PLN,0,70000000,6.673,3
2026-04-16,PLN,70000000,,6.673,3
2026-04-16,RON,,,8.185,3
2026-04-16,RUB*,0,660000000,19.490,5
2026-04-16,RUB*,660000000,,19.490,5
2026-04-16,SAR,0,350000,6.056,2.5
2026-04-16,SAR,350000,3500000,5.556,2
2026-04-16,SAR,3500000,350000000,5.056,1.5
2026-04-16,SAR,350000000,,5.056,1.5
2026-04-16,SEK,0,900000,3.100,1.5
2026-04-16,SEK,900000,9100000,2.600,1
2026-04-16,SEK,9100000,454000000,2.350,0.75
2026-04-16,SEK,454000000,1820000000,2.100,0.5
2026-04-16,SEK,1820000000,,2.100,0.5
2026-04-16,SGD,0,140000,2.424,1.5
2026-04-16,SGD,140000,1400000,1.924,1
2026-04-16,SGD,1400000,68000000,1.674,0.75
2026-04-16,SGD,68000000,270000000,1.424,0.5
2026-04-16,SGD,270000000,,1.424,0.5
2026-04-16,TRY,0,250000000,35.527,5
2026-04-16,TRY,250000000,,35.527,5
2026-04-16,ZAR,0,1500000,7.703,1.5
2026-04-16,ZAR,1500000,15000000,7.203,1
2026-04-16,ZAR,15000000,1500000000,6.953,0.75
2026-04-16,ZAR,1500000000,,6.953,0.75
