Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-09-26,USD,0,100000,5.380,1.5
2026-09-26,USD,100000,1000000,4.880,1
2026-09-26,USD,1000000,50000000,4.630,0.75
2026-09-26,USD,50000000,250000000,4.380,0.5
2026-09-26,USD,250000000,,4.380,0.5
2026-09-26,AED,0,350000,6.400,2.5
2026-09-26,AED,350000,3500000,5.900,2
2026-09-26,AED,3500000,350000000,5.400,1.5
2026-09-26,AED,350000000,,5.400,1.5
2026-09-26,AUD,0,150000,5.640,1.5
2026-09-26,AUD,150000,1500000,5.140,1
2026-09-26,AUD,1500000,75000000,4.890,0.75
2026-09-26,AUD,75000000,300000000,4.640,0.5
2026-09-26,AUD,300000000,,4.640,0.5
2026-09-26,CAD,0,130000,3.657,1.5
2026-09-26,CAD,130000,1300000,3.157,1
2026-09-26,CAD,1300000,64000000,2.907,0.75
2026-09-26,CAD,64000000,260000000,2.657,0.5
2026-09-26,CAD,260000000,,2.657,0.5
2026-09-26,CHF,0,90000,1.500,1.5
2026-09-26,CHF,90000,900000,1.000,1
2026-09-26,CHF,900000,46000000,0.750,0.75
2026-09-26,CHF,46000000,180000000,0.75,0.5
2026-09-26,CHF,180000000,,0.75,0.5
2026-09-26,CNH,0,700000,4.720,4
2026-09-26,CNH,700000,7000000,3.720,3
2026-09-26,CNH,7000000,350000000,3.220,2.5
2026-09-26,CNH,350000000,,2.720,2
2026-09-26,CZK,0,400000000,6.518,3
2026-09-26,CZK,400000000,,6.518,3
2026-09-26,DKK,0,120000000,4.971,3
2026-09-26,DKK,120000000,,4.971,3
2026-09-26,EUR,0,90000,3.911,1.5
2026-09-26,EUR,90000,900000,3.411,1
2026-09-26,EUR,900000,44000000,3.161,0.75
2026-09-26,EUR,44000000,180000000,2.911,0.5
2026-09-26,EUR,180000000,,2.911,0.5
2026-09-26,GBP,0,80000,5.191,1.5
2026-09-26,GBP,80000,800000,4.691,1
2026-09-26,GBP,800000,38000000,4.441,0.75
2026-09-26,GBP,38000000,150000000,4.191,0.5
2026-09-26,GBP,150000000,,4.191,0.5
2026-09-26,HKD,0,780000,4.864,2.5
2026-09-26,HKD,780000,7800000,4.364,2
2026-09-26,HKD,7800000,780000000,3.864,1.5
2026-09-26,HKD,780000000,,3.864,1.5
2026-09-26,HUF,0,4500000000,10.269,5
2026-09-26,HUF,4500000000,,10.269,5
2026-09-26,ILS,0,80000000,7.887,5
2026-09-26,ILS,80000000,,7.887,5
2026-09-26,INR,,,8.130,3
2026-09-26,JPY,0,11000000,2.495,1.5
2026-09-26,JPY,11000000,114000000,1.995,1
2026-09-26,JPY,114000000,5700000000,1.745,0.75
2026-09-26,JPY,5700000000,23000000000,1.495,0.5
2026-09-26,JPY,23000000000,,1.495,0.5
2026-09-26,KRW,,,7.705,3.5
2026-09-26,MXN,0,2000000,9.484,3
2026-09-26,MXN,2000000,20000000,8.484,2
2026-09-26,MXN,20000000,2000000000,7.984,1.5
2026-09-26,MXN,2000000000,,7.984,1.5
2026-09-26,NOK,0,900000,5.659,1.5
2026-09-26,NOK,900000,9000000,5.159,1
2026-09-26,NOK,9000000,450000000,4.909,0.75
2026-09-26,NOK,450000000,1800000000,4.659,0.5
2026-09-26,NOK,1800000000,,4.659,0.5
2026-09-26,NZD,0,150000,3.978,1.5
2026-09-26,NZD,150000,1500000,3.478,1
2026-09-26,NZD,1500000,150000000,3.228,0.75
2026-09-26,NZD,150000000,,3.228,0.75
2026-09-26,PLN,0,70000000,6.496,3
2026-09-26,PLN,70000000,,6.496,3
2026-09-26,RON,,,8.938,3
2026-09-26,RUB*,0,660000000,19.100,5
2026-09-26,RUB*,660000000,,19.100,5
2026-09-26,SAR,0,350000,6.446,2.5
2026-09-26,SAR,350000,3500000,5.946,2
2026-09-26,SAR,3500000,350000000,5.446,1.5
2026-09-26,SAR,350000000,,5.446,1.5
2026-09-26,SEK,0,900000,3.284,1.5
2026-09-26,SEK,900000,9100000,2.784,1
2026-09-26,SEK,9100000,454000000,2.534,0.75
2026-09-26,SEK,454000000,1820000000,2.284,0.5
2026-09-26,SEK,1820000000,,2.284,0.5
2026-09-26,SGD,0,140000,2.995,1.5
2026-09-26,SGD,140000,1400000,2.495,1
2026-09-26,SGD,1400000,68000000,2.245,0.75
2026-09-26,SGD,68000000,270000000,1.995,0.5
2026-09-26,SGD,270000000,,1.995,0.5
2026-09-26,TRY,0,250000000,33.639,5
2026-09-26,TRY,250000000,,33.639,5
2026-09-26,ZAR,0,1500000,7.213,1.5
2026-09-26,ZAR,1500000,15000000,6.713,1
2026-09-26,ZAR,15000000,1500000000,6.463,0.75
2026-09-26,ZAR,1500000000,,6.463,0.75
