Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-05-06,USD,0,10000,0,0
2026-05-06,USD,10000,,3.140,-0.5
2026-05-06,AED,0,35000,0,0
2026-05-06,AED,35000,,2.992,-0.75
2026-05-06,AUD,0,15000,0,0
2026-05-06,AUD,15000,150000,3.760,-0.5
2026-05-06,AUD,150000,,4.010,-0.25
2026-05-06,CAD,0,13000,0,0
2026-05-06,CAD,13000,,1.742,-0.5
2026-05-06,CHF,0,100000,0,0
2026-05-06,CHF,100000,,-0.549,-0.25
2026-05-06,CNH,0,70000,0,0
2026-05-06,CNH,70000,,0.50,0
2026-05-06,CZK,0,250000,0,0
2026-05-06,CZK,250000,,1.289,-2
2026-05-06,DKK,0,75000,0,0
2026-05-06,DKK,75000,,0.996,-0.5
2026-05-06,EUR,0,10000,0,0
2026-05-06,EUR,10000,,1.439,-0.5
2026-05-06,GBP,0,8000,0,0
2026-05-06,GBP,8000,,3.196,-0.5
2026-05-06,HKD,0,78000,0,0
2026-05-06,HKD,78000,,1.721,-0.75
2026-05-06,HUF,0,3500000,0,0
2026-05-06,HUF,3500000,,2.514,-3
2026-05-06,ILS,,,0,0
2026-05-06,INR,,,0,0
2026-05-06,JPY,0,5000000,0,0
2026-05-06,JPY,5000000,,0.133,-0.25
2026-05-06,KRW,0,12000000,0,0
2026-05-06,KRW,12000000,,1.000,-1.5
2026-05-06,MXN,0,200000,0,0
2026-05-06,MXN,200000,,2.708,-4
2026-05-06,NOK,0,100000,0,0
2026-05-06,NOK,100000,,1.836,-2
2026-05-06,NZD,0,15000,0,0
2026-05-06,NZD,15000,,0.032,-2.5
2026-05-06,PLN,0,400000,0,0
2026-05-06,PLN,400000,,1.700,-2
2026-05-06,RON,0,50000,0,0
2026-05-06,RON,50000,,3.428,-2
2026-05-06,RUB,,,0,0
2026-05-06,SAR,0,35000,0,0
2026-05-06,SAR,35000,,2.986,-0.75
2026-05-06,SEK,0,110000,0,0
2026-05-06,SEK,110000,,1.074,-0.5
2026-05-06,SGD,0,14000,0,0
2026-05-06,SGD,14000,,0.355,-1
2026-05-06,TRY,0,250000,0,0
2026-05-06,TRY,250000,,5,0
2026-05-06,ZAR,0,150000,0,0
2026-05-06,ZAR,150000,,5.623,-1
