Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-06-23,USD,0,100000,5.130,1.5
2026-06-23,USD,100000,1000000,4.630,1
2026-06-23,USD,1000000,50000000,4.380,0.75
2026-06-23,USD,50000000,250000000,4.130,0.5
2026-06-23,USD,250000000,,4.130,0.5
2026-06-23,AED,0,350000,6.164,2.5
2026-06-23,AED,350000,3500000,5.664,2
2026-06-23,AED,3500000,350000000,5.164,1.5
2026-06-23,AED,350000000,,5.164,1.5
2026-06-23,AUD,0,150000,5.923,1.5
2026-06-23,AUD,150000,1500000,5.423,1
2026-06-23,AUD,1500000,75000000,5.173,0.75
2026-06-23,AUD,75000000,300000000,4.923,0.5
2026-06-23,AUD,300000000,,4.923,0.5
2026-06-23,CAD,0,130000,3.630,1.5
2026-06-23,CAD,130000,1300000,3.130,1
2026-06-23,CAD,1300000,64000000,2.880,0.75
2026-06-23,CAD,64000000,260000000,2.630,0.5
2026-06-23,CAD,260000000,,2.630,0.5
2026-06-23,CHF,0,90000,1.500,1.5
2026-06-23,CHF,90000,900000,1.000,1
2026-06-23,CHF,900000,46000000,0.750,0.75
2026-06-23,CHF,46000000,180000000,0.75,0.5
2026-06-23,CHF,180000000,,0.75,0.5
2026-06-23,CNH,0,700000,5.359,4
2026-06-23,CNH,700000,7000000,4.359,3
2026-06-23,CNH,7000000,350000000,3.859,2.5
2026-06-23,CNH,350000000,,3.359,2
2026-06-23,CZK,0,400000000,5.954,3
2026-06-23,CZK,400000000,,5.954,3
2026-06-23,DKK,0,120000000,4.778,3
2026-06-23,DKK,120000000,,4.778,3
2026-06-23,EUR,0,90000,3.694,1.5
2026-06-23,EUR,90000,900000,3.194,1
2026-06-23,EUR,900000,44000000,2.944,0.75
2026-06-23,EUR,44000000,180000000,2.694,0.5
2026-06-23,EUR,180000000,,2.694,0.5
2026-06-23,GBP,0,80000,5.216,1.5
2026-06-23,GBP,80000,800000,4.716,1
2026-06-23,GBP,800000,38000000,4.466,0.75
2026-06-23,GBP,38000000,150000000,4.216,0.5
2026-06-23,GBP,150000000,,4.216,0.5
2026-06-23,HKD,0,780000,5.253,2.5
2026-06-23,HKD,780000,7800000,4.753,2
2026-06-23,HKD,7800000,780000000,4.253,1.5
2026-06-23,HKD,780000000,,4.253,1.5
2026-06-23,HUF,0,4500000000,10.837,5
2026-06-23,HUF,4500000000,,10.837,5
2026-06-23,ILS,0,80000000,8.329,5
2026-06-23,ILS,80000000,,8.329,5
2026-06-23,INR,,,8.400,3
2026-06-23,JPY,0,11000000,2.407,1.5
2026-06-23,JPY,11000000,114000000,1.907,1
2026-06-23,JPY,114000000,5700000000,1.657,0.75
2026-06-23,JPY,5700000000,23000000000,1.407,0.5
2026-06-23,JPY,23000000000,,1.407,0.5
2026-06-23,KRW,,,6.026,3
2026-06-23,MXN,0,2000000,9.542,3
2026-06-23,MXN,2000000,20000000,8.542,2
2026-06-23,MXN,20000000,2000000000,8.042,1.5
2026-06-23,MXN,2000000000,,8.042,1.5
2026-06-23,NOK,0,900000,5.676,1.5
2026-06-23,NOK,900000,9000000,5.176,1
2026-06-23,NOK,9000000,450000000,4.926,0.75
2026-06-23,NOK,450000000,1800000000,4.676,0.5
2026-06-23,NOK,1800000000,,4.676,0.5
2026-06-23,NZD,0,150000,3.701,1.5
2026-06-23,NZD,150000,1500000,3.201,1
2026-06-23,NZD,1500000,150000000,2.951,0.75
2026-06-23,NZD,150000000,,2.951,0.75
2026-06-23,PLN,0,70000000,6.744,3
2026-06-23,PLN,70000000,,6.744,3
2026-06-23,RON,,,8.548,3
2026-06-23,RUB*,0,660000000,18.740,5
2026-06-23,RUB*,660000000,,18.740,5
2026-06-23,SAR,0,350000,6.122,2.5
2026-06-23,SAR,350000,3500000,5.622,2
2026-06-23,SAR,3500000,350000000,5.122,1.5
2026-06-23,SAR,350000000,,5.122,1.5
2026-06-23,SEK,0,900000,3.131,1.5
2026-06-23,SEK,900000,9100000,2.631,1
2026-06-23,SEK,9100000,454000000,2.381,0.75
2026-06-23,SEK,454000000,1820000000,2.131,0.5
2026-06-23,SEK,1820000000,,2.131,0.5
2026-06-23,SGD,0,140000,2.513,1.5
2026-06-23,SGD,140000,1400000,2.013,1
2026-06-23,SGD,1400000,68000000,1.763,0.75
2026-06-23,SGD,68000000,270000000,1.513,0.5
2026-06-23,SGD,270000000,,1.513,0.5
2026-06-23,TRY,0,250000000,36.259,5
2026-06-23,TRY,250000000,,36.259,5
2026-06-23,ZAR,0,1500000,8.164,1.5
2026-06-23,ZAR,1500000,15000000,7.664,1
2026-06-23,ZAR,15000000,1500000000,7.414,0.75
2026-06-23,ZAR,1500000000,,7.414,0.75
