Date,Currency,TierLow,TierHigh,Rate,BenchmarkDiff
2026-06-13,USD,0,100000,5.120,1.5
2026-06-13,USD,100000,1000000,4.620,1
2026-06-13,USD,1000000,50000000,4.370,0.75
2026-06-13,USD,50000000,250000000,4.120,0.5
2026-06-13,USD,250000000,,4.120,0.5
2026-06-13,AED,0,350000,6.119,2.5
2026-06-13,AED,350000,3500000,5.619,2
2026-06-13,AED,3500000,350000000,5.119,1.5
2026-06-13,AED,350000000,,5.119,1.5
2026-06-13,AUD,0,150000,6.030,1.5
2026-06-13,AUD,150000,1500000,5.530,1
2026-06-13,AUD,1500000,75000000,5.280,0.75
2026-06-13,AUD,75000000,300000000,5.030,0.5
2026-06-13,AUD,300000000,,5.030,0.5
2026-06-13,CAD,0,130000,3.678,1.5
2026-06-13,CAD,130000,1300000,3.178,1
2026-06-13,CAD,1300000,64000000,2.928,0.75
2026-06-13,CAD,64000000,260000000,2.678,0.5
2026-06-13,CAD,260000000,,2.678,0.5
2026-06-13,CHF,0,90000,1.500,1.5
2026-06-13,CHF,90000,900000,1.000,1
2026-06-13,CHF,900000,46000000,0.750,0.75
2026-06-13,CHF,46000000,180000000,0.75,0.5
2026-06-13,CHF,180000000,,0.75,0.5
2026-06-13,CNH,0,700000,5.184,4
2026-06-13,CNH,700000,7000000,4.184,3
2026-06-13,CNH,7000000,350000000,3.684,2.5
2026-06-13,CNH,350000000,,3.184,2
2026-06-13,CZK,0,400000000,6.304,3
2026-06-13,CZK,400000000,,6.304,3
2026-06-13,DKK,0,120000000,4.492,3
2026-06-13,DKK,120000000,,4.492,3
2026-06-13,EUR,0,90000,3.439,1.5
2026-06-13,EUR,90000,900000,2.939,1
2026-06-13,EUR,900000,44000000,2.689,0.75
2026-06-13,EUR,44000000,180000000,2.439,0.5
2026-06-13,EUR,180000000,,2.439,0.5
2026-06-13,GBP,0,80000,5.207,1.5
2026-06-13,GBP,80000,800000,4.707,1
2026-06-13,GBP,800000,38000000,4.457,0.75
2026-06-13,GBP,38000000,150000000,4.207,0.5
2026-06-13,GBP,150000000,,4.207,0.5
2026-06-13,HKD,0,780000,4.363,2.5
2026-06-13,HKD,780000,7800000,3.863,2
2026-06-13,HKD,7800000,780000000,3.363,1.5
2026-06-13,HKD,780000000,,3.363,1.5
2026-06-13,HUF,0,4500000000,10.676,5
2026-06-13,HUF,4500000000,,10.676,5
2026-06-13,ILS,0,80000000,8.506,5
2026-06-13,ILS,80000000,,8.506,5
2026-06-13,INR,,,8.330,3
2026-06-13,JPY,0,11000000,2.085,1.5
2026-06-13,JPY,11000000,114000000,1.585,1
2026-06-13,JPY,114000000,5700000000,1.335,0.75
2026-06-13,JPY,5700000000,23000000000,1.085,0.5
2026-06-13,JPY,23000000000,,1.085,0.5
2026-06-13,KRW,,,6.100,3
2026-06-13,MXN,0,2000000,9.568,3
2026-06-13,MXN,2000000,20000000,8.568,2
2026-06-13,MXN,20000000,2000000000,8.068,1.5
2026-06-13,MXN,2000000000,,8.068,1.5
2026-06-13,NOK,0,900000,5.643,1.5
2026-06-13,NOK,900000,9000000,5.143,1
2026-06-13,NOK,9000000,450000000,4.893,0.75
2026-06-13,NOK,450000000,1800000000,4.643,0.5
2026-06-13,NOK,1800000000,,4.643,0.5
2026-06-13,NZD,0,150000,3.973,1.5
2026-06-13,NZD,150000,1500000,3.473,1
2026-06-13,NZD,1500000,150000000,3.223,0.75
2026-06-13,NZD,150000000,,3.223,0.75
2026-06-13,PLN,0,70000000,6.789,3
2026-06-13,PLN,70000000,,6.789,3
2026-06-13,RON,,,8.607,3
2026-06-13,RUB*,0,660000000,18.960,5
2026-06-13,RUB*,660000000,,18.960,5
2026-06-13,SAR,0,350000,5.443,2.5
2026-06-13,SAR,350000,3500000,4.943,2
2026-06-13,SAR,3500000,350000000,4.443,1.5
2026-06-13,SAR,350000000,,4.443,1.5
2026-06-13,SEK,0,900000,3.130,1.5
2026-06-13,SEK,900000,9100000,2.630,1
2026-06-13,SEK,9100000,454000000,2.380,0.75
2026-06-13,SEK,454000000,1820000000,2.130,0.5
2026-06-13,SEK,1820000000,,2.130,0.5
2026-06-13,SGD,0,140000,2.758,1.5
2026-06-13,SGD,140000,1400000,2.258,1
2026-06-13,SGD,1400000,68000000,2.008,0.75
2026-06-13,SGD,68000000,270000000,1.758,0.5
2026-06-13,SGD,270000000,,1.758,0.5
2026-06-13,TRY,0,250000000,38.011,5
2026-06-13,TRY,250000000,,38.011,5
2026-06-13,ZAR,0,1500000,8.425,1.5
2026-06-13,ZAR,1500000,15000000,7.925,1
2026-06-13,ZAR,15000000,1500000000,7.675,0.75
2026-06-13,ZAR,1500000000,,7.675,0.75
